what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1339005913993
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1339005913994
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1339005913994
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1339005913995
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1339005913995
started,bundle,org.eclipse.wb.core,1.3.0.r37x201202052311,"org.eclipse.wb.core",1339005913995
started,bundle,org.eclipse.wb.core.lib,1.3.0.r37x201202052311,"org.eclipse.wb.core.lib",1339005914009
started,bundle,org.eclipse.wb.discovery.core,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.core",1339005914010
started,bundle,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.adt",1339005914010
os,sysinfo,,,"macosx",1339005914012
arch,sysinfo,,,"x86",1339005914012
ws,sysinfo,,,"cocoa",1339005914012
locale,sysinfo,,,"en_US",1339005914012
processors,sysinfo,,,"2",1339005914012
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1339005914012
java.runtime.version,sysinfo,,,"1.6.0_31-b04-415-10M3646",1339005914012
java.specification.name,sysinfo,,,"Java Platform API Specification",1339005914012
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1339005914012
java.specification.version,sysinfo,,,"1.6",1339005914012
java.vendor,sysinfo,,,"Apple Inc.",1339005914012
java.version,sysinfo,,,"1.6.0_31",1339005914012
java.vm.info,sysinfo,,,"mixed mode",1339005914012
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1339005914012
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1339005914012
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1339005914012
java.vm.specification.version,sysinfo,,,"1.0",1339005914012
java.vm.vendor,sysinfo,,,"Apple Inc.",1339005914012
java.vm.version,sysinfo,,,"20.6-b01-415",1339005914012
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1339005914047
started,bundle,org.eclipse.wb.discovery.ui,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.ui",1339005914218
started,bundle,com.android.ide.eclipse.ddms,18.0.0.v201203301601-306762,"com.android.ide.eclipse.ddms",1339005914344
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1339005914824
started,bundle,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui",1339005914941
started,bundle,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui",1339005914941
started,bundle,org.eclipse.core.externaltools,1.0.100.v20111007_r372,"org.eclipse.core.externaltools",1339005915173
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1339005915231
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1339005915314
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339005915550
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1339005915639
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1339005915657
started,bundle,com.android.ide.eclipse.traceview,18.0.0.v201203301601-306762,"com.android.ide.eclipse.traceview",1339005918026
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1339005919937
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339005975726
started,bundle,org.eclipse.jdt.junit.core,3.7.0.v20110928-1453,"org.eclipse.jdt.junit.core",1339005978844
started,bundle,org.eclipse.cdt.core,5.1.2.201002161416,"org.eclipse.cdt.core",1339005978937
started,bundle,org.eclipse.cdt.debug.core,6.0.0.201002161416,"org.eclipse.cdt.debug.core",1339005978964
started,bundle,org.eclipse.cdt.debug.ui,6.0.0.201002161416,"org.eclipse.cdt.debug.ui",1339005978971
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1339005978984
